Batch Size, 1
Num Batches, 2552
kwin1_out,kwin2_out,kwinl_out,activations,sp_rows,sp_cols,mul_min,mul_max,mul_avg,mul_med,mul_std
574,263,49,300,160,174,15,43,30.018025078369906,30.0,4.498396215705955
705,295,212,300,160,143,15,44,28.323275862068964,28.0,4.211042051813854
893,582,226,300,160,154,16,45,29.695532915360502,30.0,4.837987623566413
1154,583,221,300,160,154,15,44,29.253134796238246,29.0,4.610217412781662
1318,617,213,300,160,158,15,46,28.849137931034484,29.0,4.7912913302228946
1454,815,72,300,160,154,16,44,29.57014106583072,29.0,4.115088298474088
1488,1034,61,300,160,151,16,46,28.859326018808776,29.0,4.149465446969359
1397,170,281,300,160,162,14,48,29.912617554858933,30.0,4.652480787109751
1287,308,314,300,160,152,15,47,30.21551724137931,30.0,4.443456387742028
1082,605,238,300,160,151,17,46,29.650862068965516,30.0,4.196482988917367
906,867,362,300,160,135,15,48,30.237460815047022,30.0,4.156805932300588
747,952,296,300,160,137,14,47,30.13362068965517,30.0,4.229571748148751
265,229,328,300,160,147,17,44,30.30603448275862,30.0,4.2659431307800135
302,320,203,300,160,126,17,48,30.727272727272727,31.0,4.3241585432819205
396,356,381,300,160,175,17,45,30.795846394984327,31.0,3.9684608864302167
486,348,231,300,160,171,16,47,30.17398119122257,30.0,4.2776279000232
581,396,253,300,160,151,18,48,30.614811912225704,31.0,4.2880401635533705
739,229,251,300,160,140,16,47,30.718652037617556,31.0,4.750350266041659
906,330,342,300,160,167,14,44,29.628918495297807,30.0,4.27528371783267
1021,297,343,300,160,152,15,45,28.169670846394986,28.0,4.317962615120283
1120,321,162,300,160,141,17,41,28.55485893416928,28.0,4.136120412263155
1130,409,226,300,160,150,15,44,28.53605015673981,28.0,4.38778063279112
1014,136,163,300,160,148,16,45,29.773902821316614,30.0,4.130158118595484
880,220,243,300,160,147,13,48,30.307601880877744,30.0,5.285483629312756
710,305,260,300,160,152,16,45,30.759012539184955,31.0,4.305023343045748
573,425,317,300,160,143,17,44,30.387931034482758,30.0,3.9300280912166006
239,517,245,300,160,173,15,45,29.635971786833856,29.0,4.576706808995411
256,762,287,300,160,151,14,48,31.44474921630094,31.0,4.644333252840479
316,669,315,300,160,125,16,47,31.112460815047022,31.0,4.776047364416304
356,295,264,300,160,139,14,47,30.204545454545453,30.0,4.348063168818296
420,142,208,300,160,172,16,47,30.172021943573668,30.0,4.329017530219524
473,137,170,300,160,154,17,46,30.254310344827587,30.0,4.261897995538577
566,744,211,300,160,167,16,46,30.97257053291536,31.0,4.755135811925112
671,659,118,300,160,167,17,43,29.595611285266457,29.0,4.160319290781893
770,319,190,300,160,183,16,45,30.314655172413794,30.0,4.612505655651133
732,141,177,300,160,172,17,46,30.36794670846395,30.0,4.5634458928777395
697,124,219,300,160,145,13,47,27.274686520376175,27.0,5.377899624278531
639,1018,279,300,160,150,14,45,30.143808777429467,30.0,4.539888614053293
570,837,51,300,160,137,15,47,30.646551724137932,31.0,4.416110682935725
499,443,215,300,160,164,14,44,29.019984326018808,29.0,4.008512728484864
153,205,218,300,160,132,15,49,30.149686520376175,30.0,4.362530135222838
186,194,222,300,160,161,14,43,29.936128526645767,30.0,4.165868787496886
210,1013,292,300,160,139,15,45,27.995689655172413,28.0,4.271128220957741
249,853,236,300,160,149,17,46,29.984326018808776,30.0,4.225583237773736
286,455,226,300,160,150,13,46,31.09051724137931,31.0,4.652505077290818
321,245,174,300,160,144,18,45,30.620689655172413,31.0,4.164092455992781
409,229,260,300,160,149,17,46,31.58385579937304,32.0,4.543591324426835
497,989,270,300,160,152,13,45,29.87617554858934,30.0,4.58304047349812
544,787,185,300,160,158,18,45,30.580329153605014,30.0,4.2352238305422185
571,474,332,300,160,149,14,45,28.974921630094045,29.0,4.508803431004516
559,367,265,300,160,128,14,48,29.06974921630094,29.0,5.068016398872363
526,412,206,300,160,158,17,47,29.889890282131663,30.0,4.674434368464058
494,362,274,300,160,141,16,46,30.304075235109718,30.0,4.224408363982777
424,477,357,300,160,148,15,49,31.12617554858934,31.0,4.600385507278458
160,547,408,300,160,163,12,47,28.50744514106583,28.0,4.439591863880834
152,494,320,300,160,126,16,45,27.96630094043887,28.0,4.2293710060630785
189,417,282,300,160,147,13,47,29.7641065830721,29.0,5.141797808488155
271,159,263,300,160,175,15,45,29.11050156739812,29.0,4.251997435743725
320,215,207,300,160,145,14,47,28.961598746081506,29.0,4.083581924139431
374,337,322,300,160,144,16,46,29.79271159874608,30.0,4.56610040384746
419,446,343,300,160,142,11,45,28.794670846394986,29.0,4.761407993743077
542,458,163,300,160,151,14,45,28.75822884012539,28.0,4.943244780840433
604,279,255,300,160,133,18,44,29.559169278996865,30.0,4.1616562819341745
600,380,222,300,160,149,17,51,30.143416927899686,30.0,4.701076604349713
593,465,309,300,160,152,12,47,28.281739811912225,28.0,4.35954745659983
500,521,231,300,160,152,14,47,30.601880877742946,31.0,5.203744995629618
409,421,291,300,160,150,15,45,29.34090909090909,29.0,4.036345897190538
