Batch Size, 1
Num Batches, 2552
kwin1_out,kwin2_out,kwinl_out,activations,sp_rows,sp_cols,mul_min,mul_max,mul_avg,mul_med,mul_std
258,860,352,300,640,406,93,148,121.83738244514106,122.0,7.597730896688867
334,499,230,300,640,410,93,148,119.41653605015674,120.0,7.296137977064429
402,366,396,300,640,424,96,141,119.24529780564264,119.0,6.712713210149777
462,343,414,300,640,394,96,143,118.39655172413794,118.0,7.188534978097913
548,464,531,300,640,417,95,144,119.64184952978056,120.0,7.377172132975688
662,474,310,300,640,429,94,144,120.65047021943573,121.0,7.647100261675828
730,354,350,300,640,397,98,145,120.67437304075236,121.0,6.628533954142256
700,274,301,300,640,406,93,149,120.55525078369907,121.0,8.006565919363936
635,311,11,300,640,380,95,145,120.63479623824452,121.0,7.335864098691347
535,733,310,300,640,400,95,150,119.37813479623824,120.0,8.081726453990372
461,651,159,300,640,370,96,149,122.14576802507837,122.0,7.771264040444966
355,388,565,300,640,400,92,142,120.05799373040752,120.0,7.329659572893283
96,266,293,300,640,367,92,143,116.4435736677116,117.0,7.4523532135911035
125,254,425,300,640,423,98,147,120.90673981191223,121.0,7.621579968792784
153,773,493,300,640,387,97,149,122.90791536050156,123.0,7.894567795006396
205,708,319,300,640,414,100,146,120.7076802507837,121.0,7.149213776924562
263,449,338,300,640,378,93,144,119.63557993730407,119.0,7.552094141202904
280,294,500,300,640,408,96,146,120.26645768025078,120.0,7.569655867990815
381,281,371,300,640,409,98,146,121.3608934169279,121.0,7.430308841760069
455,673,819,300,640,412,97,145,120.24098746081505,120.0,7.282768146631177
486,668,517,300,640,393,98,144,120.1974921630094,120.0,7.145555207819404
507,515,516,300,640,396,98,143,119.85736677115987,120.0,6.843757924794718
458,370,476,300,640,377,98,144,120.4858934169279,120.5,6.797204966872839
420,382,392,300,640,413,93,143,117.83032915360502,118.0,7.607266688813401
338,833,268,300,640,403,95,146,118.19592476489028,118.0,7.71855125973771
284,1097,198,300,640,401,96,145,120.5646551724138,121.0,7.0796335751371995
78,968,379,300,640,414,95,144,119.5101880877743,120.0,7.103680640907823
89,617,582,300,640,400,97,148,122.95180250783699,123.0,7.3773426678404865
133,297,375,300,640,390,96,147,122.96238244514106,123.0,8.160094540708267
216,399,382,300,640,412,94,146,121.15556426332289,121.0,7.0854956097536945
261,624,113,300,640,398,94,146,116.70924764890282,117.0,7.81296501451148
304,694,309,300,640,422,94,150,119.58346394984326,120.0,7.911744330163803
359,537,608,300,640,381,94,144,120.39184952978056,120.0,7.269772262062203
466,322,384,300,640,388,89,148,117.95415360501568,118.0,8.08302422074857
498,485,605,300,640,381,98,145,119.90673981191223,120.0,7.337043793533396
504,632,300,300,640,415,91,146,118.39224137931035,118.0,7.558195493247698
471,745,457,300,640,396,97,141,118.44122257053291,118.0,7.075698603744129
383,554,413,300,640,408,91,147,117.92476489028213,118.0,7.605155065178689
290,273,442,300,640,420,93,155,120.78683385579937,120.0,8.306388881163906
223,639,181,300,640,400,89,143,119.01253918495298,119.0,7.632415165865816
109,874,347,300,640,415,99,141,119.53996865203762,119.0,6.758888354296967
118,923,447,300,640,402,95,148,121.28330721003135,121.0,6.94645240209616
153,715,155,300,640,392,93,144,118.77115987460814,119.0,7.42597632369105
263,341,418,300,640,381,98,144,119.63675548589342,120.0,6.805869226690185
362,531,355,300,640,395,98,145,119.86637931034483,120.0,7.334683659352286
421,753,406,300,640,389,91,153,120.16653605015674,120.0,8.15783327853815
546,831,355,300,640,400,94,149,122.18025078369907,122.0,8.558234147529582
619,603,361,300,640,464,93,144,120.81700626959248,121.0,6.895933275472769
